player_id,full_name,position,legend_score,source_tier,is_manually_curated,curation_tier,justification
00-0024359,Jerome Harrison,RB,36.37,2,False,,Algorithmic scoring
00-0035806,JaMycal Hasty,RB,20.59,2,False,,Algorithmic scoring
00-0028178,Stanley Havili,RB,13.63,2,False,,Algorithmic scoring
00-0021279,Verron Haynes,RB,28.23,2,False,,Algorithmic scoring
00-0007180,Garrison Hearst,RB,47.95,2,False,,Algorithmic scoring
00-0023683,Madison Hedgecock,RB,15.15,2,False,,Algorithmic scoring
00-0028043,Roy Helu,RB,39.54,2,False,,Algorithmic scoring
00-0035664,Darrell Henderson,RB,41.21,2,False,,Algorithmic scoring
00-0007254,William Henderson,RB,36.09,2,False,,Algorithmic scoring
00-0032764,Derrick Henry,RB,82.0,2,False,,Algorithmic scoring
00-0020471,Travis Henry,RB,49.21,2,False,,Algorithmic scoring
00-0036906,Khalil Herbert,RB,32.9,2,False,,Algorithmic scoring
00-0029588,Dan Herron,RB,19.12,2,False,,Algorithmic scoring
00-0023676,Noah Herron,RB,17.65,2,False,,Algorithmic scoring
00-0026209,Jacob Hester,RB,26.68,2,False,,Algorithmic scoring
00-0007357,Chris Hetherington,RB,24.57,2,False,,Algorithmic scoring
00-0007389,Skip Hicks,RB,30.12,2,False,,Algorithmic scoring
00-0020797,Maurice Hicks,RB,23.88,2,False,,Algorithmic scoring
00-0026289,Tim Hightower,RB,51.01,2,False,,Algorithmic scoring
00-0033567,Brian Hill,RB,27.28,2,False,,Algorithmic scoring
00-0031301,Jeremy Hill,RB,47.09,2,False,,Algorithmic scoring
00-0034975,Justice Hill,RB,31.26,2,False,,Algorithmic scoring
00-0034253,Dontrell Hilliard,RB,26.64,2,False,,Algorithmic scoring
00-0026344,Lex Hilliard,RB,17.29,2,False,,Algorithmic scoring
00-0026367,Peyton Hillis,RB,46.6,2,False,,Algorithmic scoring
00-0029683,Ronnie Hillman,RB,40.4,2,False,,Algorithmic scoring
00-0034367,Nyheim Hines,RB,42.22,2,False,,Algorithmic scoring
00-0007546,James Hodgins,RB,23.25,2,False,,Algorithmic scoring
00-0007579,Robert Holcombe,RB,39.85,2,False,,Algorithmic scoring
00-0007661,Priest Holmes,RB,56.51,2,False,,Algorithmic scoring
00-0035594,Travis Homer,RB,23.56,2,False,,Algorithmic scoring
00-0019100,Brad Hoover,RB,39.08,2,False,,Algorithmic scoring
00-0023615,Cedric Houston,RB,22.59,2,False,,Algorithmic scoring
00-0032780,Jordan Howard,RB,56.78,2,False,,Algorithmic scoring
00-0036555,Chuba Hubbard,RB,37.94,2,False,,Algorithmic scoring
00-0031743,Akeem Hunt,RB,10.68,2,False,,Algorithmic scoring
00-0033923,Kareem Hunt,RB,60.4,2,False,,Algorithmic scoring
00-0028053,Kendall Hunter,RB,30.78,2,False,,Algorithmic scoring
00-0007969,Richard Huntley,RB,39.25,2,False,,Algorithmic scoring
00-0031045,Carlos Hyde,RB,52.34,2,False,,Algorithmic scoring
00-0028492,Henry Hynoski,RB,11.61,2,False,,Algorithmic scoring
00-0035125,Alec Ingold,RB,16.65,2,False,,Algorithmic scoring
00-0037299,Keaontay Ingram,RB,13.75,2,False,,Algorithmic scoring
00-0027966,Mark Ingram,RB,65.18,2,False,,Algorithmic scoring
00-0008046,Sedrick Irvin,RB,23.55,2,False,,Algorithmic scoring
00-0027531,Chris Ivory,RB,52.72,2,False,,Algorithmic scoring
00-0025450,Brandon Jackson,RB,37.91,2,False,,Algorithmic scoring
00-0036493,Deon Jackson,RB,19.99,2,False,,Algorithmic scoring
00-0024204,Fred Jackson,RB,54.85,2,False,,Algorithmic scoring
00-0020430,James Jackson,RB,27.72,2,False,,Algorithmic scoring
00-0034440,Justin Jackson,RB,31.45,2,False,,Algorithmic scoring
00-0022736,Steven Jackson,RB,72.23,2,False,,Algorithmic scoring
00-0008196,Terry Jackson,RB,26.55,2,False,,Algorithmic scoring
00-0023545,Brandon Jacobs,RB,58.11,2,False,,Algorithmic scoring
00-0035700,Josh Jacobs,RB,72.8,2,False,,Algorithmic scoring
00-0008241,Edgerrin James,RB,64.15,2,False,,Algorithmic scoring
00-0032956,Andy Janovich,RB,19.74,2,False,,Algorithmic scoring
00-0027155,Rashad Jennings,RB,50.79,2,False,,Algorithmic scoring
00-0021260,Kyle Johnson,RB,17.75,2,False,,Algorithmic scoring
00-0008430,Anthony Johnson,RB,20.45,2,False,,Algorithmic scoring
00-0019172,Bryan Johnson,RB,19.44,2,False,,Algorithmic scoring
00-0026164,Chris Johnson,RB,79.77,2,False,,Algorithmic scoring
00-0035628,D'Ernest Johnson,RB,24.44,2,False,,Algorithmic scoring
00-0032187,David Johnson,RB,76.13,2,False,,Algorithmic scoring
00-0035726,Jakob Johnson,RB,16.8,2,False,,Algorithmic scoring
00-0008529,J.J. Johnson,RB,33.39,2,False,,Algorithmic scoring
00-0022141,Jeremi Johnson,RB,22.21,2,False,,Algorithmic scoring
00-0034349,Kerryon Johnson,RB,36.14,2,False,,Algorithmic scoring
00-0021976,Larry Johnson,RB,61.11,2,False,,Algorithmic scoring
00-0027106,Quinn Johnson,RB,12.25,2,False,,Algorithmic scoring
00-0032257,Duke Johnson,RB,46.0,2,False,,Algorithmic scoring
00-0020407,Rudi Johnson,RB,50.73,2,False,,Algorithmic scoring
00-0035537,Ty Johnson,RB,34.34,2,False,,Algorithmic scoring
00-0008568,Leon Johnson,RB,28.0,2,False,,Algorithmic scoring
00-0028841,Will Johnson,RB,20.77,2,False,,Algorithmic scoring
00-0033293,Aaron Jones,RB,60.54,2,False,,Algorithmic scoring
00-0026162,Felix Jones,RB,47.97,2,False,,Algorithmic scoring
00-0022897,Greg Jones,RB,42.18,2,False,,Algorithmic scoring
00-0022840,Julius Jones,RB,50.25,2,False,,Algorithmic scoring
00-0022782,Kevin Jones,RB,50.55,2,False,,Algorithmic scoring
00-0031939,Matt Jones,RB,31.67,2,False,,Algorithmic scoring
00-0034816,Ronald Jones,RB,41.73,2,False,,Algorithmic scoring
00-0028063,Taiwan Jones,RB,20.38,2,False,,Algorithmic scoring
00-0019641,Thomas Jones,RB,67.89,2,False,,Algorithmic scoring
00-0035860,Tony Jones,RB,13.02,2,False,,Algorithmic scoring
00-0037745,Velus Jones Jr.,RB,17.41,2,False,,Algorithmic scoring
00-0024275,Maurice Jones-Drew,RB,78.77,2,False,,Algorithmic scoring
00-0020462,LaMont Jordan,RB,52.35,2,False,,Algorithmic scoring
00-0008921,Randy Jordan,RB,27.53,2,False,,Algorithmic scoring
00-0029892,Kyle Juszczyk,RB,59.61,2,False,,Algorithmic scoring
00-0033906,Alvin Kamara,RB,64.7,2,False,,Algorithmic scoring
00-0027779,Deji Karim,RB,14.31,2,False,,Algorithmic scoring
00-0022796,Mike Karney,RB,25.14,2,False,,Algorithmic scoring
00-0009038,Napoleon Kaufman,RB,27.98,2,False,,Algorithmic scoring
00-0022206,Kenton Keith,RB,19.84,2,False,,Algorithmic scoring
00-0036370,Joshua Kelley,RB,31.55,2,False,,Algorithmic scoring
00-0032371,Rob Kelley,RB,30.09,2,False,,Algorithmic scoring
00-0009288,Terry Kirby,RB,37.34,2,False,,Algorithmic scoring
00-0009417,Rob Konrad,RB,30.94,2,False,,Algorithmic scoring
00-0019135,Dan Kreider,RB,27.79,2,False,,Algorithmic scoring
00-0022999,John Kuhn,RB,44.35,2,False,,Algorithmic scoring
00-0030485,Eddie Lacy,RB,60.11,2,False,,Algorithmic scoring
00-0035342,Patrick Laird,RB,16.19,2,False,,Algorithmic scoring
00-0029619,Jorvorskie Lane,RB,18.66,2,False,,Algorithmic scoring
00-0031569,Jeremy Langford,RB,32.55,2,False,,Algorithmic scoring
00-0026323,Spencer Larsen,RB,11.82,2,False,,Algorithmic scoring
00-0022397,Vonta Leach,RB,31.94,2,False,,Algorithmic scoring
00-0021673,ReShard Lee,RB,18.01,2,False,,Algorithmic scoring
00-0025439,Brian Leonard,RB,31.77,2,False,,Algorithmic scoring
00-0009829,Dorsey Levens,RB,50.35,2,False,,Algorithmic scoring
00-0028087,Dion Lewis,RB,43.92,2,False,,Algorithmic scoring
00-0019693,Jamal Lewis,RB,60.32,2,False,,Algorithmic scoring
00-0034109,Phillip Lindsay,RB,38.61,2,False,,Algorithmic scoring
00-0029931,Zach Line,RB,19.28,2,False,,Algorithmic scoring
00-0009960,Jonathan Linton,RB,32.37,2,False,,Algorithmic scoring
00-0027844,Erik Lorig,RB,14.07,2,False,,Algorithmic scoring
00-0017896,Nicolas Luchey,RB,24.3,2,False,,Algorithmic scoring
00-0026029,Kregg Lumpkin,RB,12.4,2,False,,Algorithmic scoring
00-0025399,Marshawn Lynch,RB,81.62,2,False,,Algorithmic scoring
00-0033951,Marlon Mack,RB,44.57,2,False,,Algorithmic scoring
00-0010240,Stacey Mack,RB,41.37,2,False,,Algorithmic scoring
00-0021509,Reno Mahe,RB,9.72,2,False,,Algorithmic scoring
00-0010292,Joel Makovicka,RB,22.01,2,False,,Algorithmic scoring
00-0024236,Laurence Maroney,RB,45.76,2,False,,Algorithmic scoring
00-0010436,Cecil Martin,RB,21.5,2,False,,Algorithmic scoring
00-0010442,Curtis Martin,RB,57.24,2,False,,Algorithmic scoring
00-0029613,Doug Martin,RB,70.69,2,False,,Algorithmic scoring
00-0037525,Jordan Mason,RB,22.3,2,False,,Algorithmic scoring
00-0031391,Tre Mason,RB,26.14,2,False,,Algorithmic scoring
00-0027864,Ryan Mathews,RB,65.21,2,False,,Algorithmic scoring
00-0034972,Alexander Mattison,RB,40.77,2,False,,Algorithmic scoring
00-0020527,Deuce McAllister,RB,61.68,2,False,,Algorithmic scoring
00-0033280,Christian McCaffrey,RB,78.36,2,False,,Algorithmic scoring
00-0025524,Le'Ron McClain,RB,60.77,2,False,,Algorithmic scoring
00-0027029,LeSean McCoy,RB,80.26,2,False,,Algorithmic scoring
00-0010747,Fred McCrary,RB,24.4,2,False,,Algorithmic scoring
00-0026144,Darren McFadden,RB,58.07,2,False,,Algorithmic scoring
00-0022178,Willis McGahee,RB,71.0,2,False,,Algorithmic scoring
00-0033295,Elijah McGuire,RB,23.9,2,False,,Algorithmic scoring
00-0038636,Kenny McIntosh,RB,8.67,2,False,,Algorithmic scoring
00-0020804,Corey McIntyre,RB,17.71,2,False,,Algorithmic scoring
00-0020805,Jason McKie,RB,27.02,2,False,,Algorithmic scoring
00-0031376,Jerick McKinnon,RB,50.59,2,False,,Algorithmic scoring
00-0032602,J.D. McKissic,RB,35.1,2,False,,Algorithmic scoring
00-0027712,Joe McKnight,RB,21.71,2,False,,Algorithmic scoring
00-0038794,Jaleel McLaughlin,RB,15.45,2,False,,Algorithmic scoring
00-0033955,Jeremy McNichols,RB,18.43,2,False,,Algorithmic scoring
